STT,Nội dung,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Phương án F,Phương án G,Phương án H,Phương án I,Phương án J,Đáp án,Tags
313,"Đối với đấu thầu không qua mạng, trường hợp hồ sơ dự thầu của nhà thầu có sai lệch thiếu sau khi hiệu chỉnh sai lệch vẫn được xếp hạng thứ nhất và hồ sơ dự thầu của nhà thầu này không có đơn giá của phần sai lệch thiếu, đơn giá nào sẽ được ưu tiên áp dụng đầu tiên để đề nghị trúng thầu?",Đơn giá trong dự toán gói thầu,Đơn giá tương ứng có giá trị thấp nhất trong các hồ sơ dự thầu khác vượt qua bước đánh giá về kỹ thuật,Đơn giá hình thành giá gói thầu,Đơn giá tương ứng có giá trị cao nhất trong các hồ sơ dự thầu khác vượt qua bước đánh giá về kỹ thuật,,,,,,,B,P3
314,"Đối với gói thầu bảo hiểm, nhà thầu tham dự thầu có được xuất trình giấy chứng nhận bảo hiểm bảo lãnh do chính mình phát hành không?",Được dùng giấy chứng nhận bảo hiểm bảo lãnh do chính mình phát hành nếu nhà thầu là doanh nghiệp bảo hiểm uy tín,"Không được dùng giấy chứng nhận bảo hiểm bảo lãnh do chính mình phát hành nếu giá trị bảo lãnh từ 50 triệu đồng trở lên, được dùng nếu giá trị bảo lãnh nhỏ hơn 50 triệu đồng",Chỉ được dùng giấy chứng nhận bảo hiểm bảo lãnh do chính mình phát hành nếu giá trị bảo lãnh nhỏ hơn 50 triệu đồng,Tất cả phương án đều sai,,,,,,,D,P3
315,"Trường hợp sau khi có quyết định phê duyệt kết quả lựa chọn nhà thầu, nhà thầu không trúng thầu có yêu cầu giải thích về lý do cụ thể không trúng thầu, chủ đầu tư phải trả lời trong thời hạn bao lâu?",02 ngày làm việc kể từ ngày được yêu cầu,03 ngày làm việc kể từ ngày được yêu cầu,05 ngày làm việc kể từ ngày được yêu cầu,07 ngày làm việc kể từ ngày được yêu cầu,,,,,,,A,P3
316,"Đối với gói thầu đấu thầu trước, nhà thầu có phải thực hiện biện pháp bảo đảm dự thầu không?",Không phải thực hiện nhưng phải có cam kết trong đơn dự thầu,Bắt buộc phải thực hiện,Tuỳ thuộc vào quyết định của chủ đầu tư,Chỉ phải thực hiện đối với gói thầu có giá trị bảo đảm dự thầu trên 50 triệu đồng,,,,,,,A,P3
317,"Trường hợp các nhà thầu chào hàng hóa có cùng ký mã hiệu (nếu có), hãng sản xuất, năm sản xuất, xuất xứ Việt Nam nhưng có nhà thầu kê khai, có nhà thầu không kê khai hàng hóa này thuộc đối tượng ưu đãi thì chủ đầu tư xử lý thế nào?",Không tính ưu đãi của tất cả các nhà thầu tham dự,Quyết định cho các nhà thầu không kê khai được làm rõ để có cơ sở đánh giá ưu đãi,Chỉ xét ưu đãi cho các nhà thầu đã kê khai,Tính ưu đãi cho tất cả nhà nhà thầu tham dự mà không cần làm rõ với nhà thầu không kê khai,,,,,,,B,P3
318,"Đối với đấu thầu qua mạng, sau khi đánh giá E-HSDT, tổ trưởng tổ chuyên gia đính kèm bản scan báo cáo đánh giá E-HSDT lên Hệ thống mạng đấu thầu quốc gia với yêu cầu nào sau đây?",Báo cáo đánh giá E-HSDT có chữ ký của tất cả thành viên trong tổ chuyên gia,Báo cáo đánh giá E-HSDT chỉ cần có chữ ký của tổ trưởng tổ chuyên gia,"Báo cáo đánh giá E-HSDT (đăng tải báo cáo đánh giá tổng hợp, không cần kèm theo các phiếu chấm của thành viên trong tổ chuyên gia)",Phương án B và C đều đúng,,,,,,,A,P3
319,"Hiện nay, Việt Nam đã mở cửa thị trường mua sắm chính phủ (đấu thầu) trong những hiệp định nào?",Chỉ Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP),Hiệp định CPTPP và Hiệp định thương mại tự do giữa Cộng hòa xã hội chủ nghĩa Việt Nam và Liên minh Châu Âu (EVFTA),"Hiệp định CPTPP, Hiệp định EVFTA và Hiệp định Thương mại Tự do giữa Việt Nam và Liên hiệp Vương quốc Anh và Bắc Ailen (UKVFTA)",Tất cả các hiệp định mà Việt Nam là thành viên,,,,,,,C,P3
320,Số lượng các nước thành viên Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP) ký kết hiệp định ban đầu là bao nhiêu nước?,8 nước,9 nước,11 nước,12 nước,,,,,,,C,P3
321,"Trong các hiệp định dưới đây, hiệp định nào không có quy định về các trường hợp chỉ định thầu?",Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP),Hiệp định thương mại tự do giữa Cộng hòa xã hội chủ nghĩa Việt Nam và Liên minh Châu Âu (EVFTA),Hiệp định EVFTA và Hiệp định Thương mại Tự do giữa Việt Nam và Liên hiệp Vương quốc Anh và Bắc Ailen (UKVFTA),Hiệp định Đối tác Kinh tế Toàn diện Khu vực (RCEP),,,,,,,D,P3
322,Hoạt động nào sau đây không thuộc phạm vi điều chỉnh của Nghị định số 95/2020/NĐ-CP?,Mua sắm thiết bị văn phòng,Thuê dịch vụ tư vấn,Thuê quyền sử dụng đất,Mua sắm vật tư y tế,,,,,,,C,P3
323,"Theo các hiệp định mà Việt Nam có mở cửa thị trường mua sắm chính phủ (đấu thầu), nhà thầu nước ngoài được tham gia đấu thầu tại Việt Nam trong trường hợp nào?",Tất cả các gói thầu,Chỉ gói thầu ODA,Gói thầu thuộc phạm vi điều chỉnh của hiệp định,"Gói thầu có giá trị lớn, phức tạp",,,,,,,C,P3
324,"Theo quy định tại Nghị định số 95/2020/NĐ-CP, đấu thầu nội khối là?",Đấu thầu mà chỉ có nhà thầu nội khối được tham dự,Đấu thầu cho các dự án trong khối CPTPP,"Đấu thầu giữa các nước thành viên EVFTA, UKVFTA",Đấu thầu trong nước,,,,,,,A,P3
325,"Theo quy định tại Nghị định số 09/2022/NĐ-CP, cơ quan mua sắm phải tổ chức đấu thầu nội khối, trừ trường hợp nào?",Không có nhà thầu trong nước tham gia,Giá gói thầu quá lớn,"Người có thẩm quyền xét thấy cần tổ chức đấu thầu quốc tế để mang lại hiệu quả cao hơn cho dự án, gói thầu",Hàng hóa thuộc gói thầu quá phức tạp mà nhà thầu trong nước không đáp ứng được,,,,,,,C,P3
326,"Theo Thông tư số 21/2022/TT-BKHĐT, khi nào được đưa ra yêu cầu về nhân sự chủ chốt trong gói thầu dịch vụ phi tư vấn?",Trong mọi trường hợp,Khi giá gói thầu lớn,"Chỉ khi dịch vụ có yếu tố đặc thù, phức tạp cần thiết phải có nhân sự có hiểu biết, nhiều kinh nghiệm đảm nhận",Khi có yêu cầu của nhà thầu,,,,,,,C,P3
327,Hiệp định thương mại tự do giữa Cộng hòa xã hội chủ nghĩa Việt Nam và Liên minh Châu Âu (EVFTA) có hiệu lực từ ngày nào?,01/7/2020,01/8/2020,01/9/2020,01/10/2020,,,,,,,B,P3
328,"Trường hợp tổ chức lựa chọn nhà thầu đối với gói thầu mua sắm hàng hóa thuộc phạm vi điều chỉnh của Hiệp định UKVFTA tại thời điểm tháng 9/2025, cơ quan mua sắm lập hồ sơ mời thầu theo Mẫu hồ sơ mời thầu ban hành kèm theo Thông tư nào?",Thông tư số 09/2020/TT-BKHĐT,Thông tư số 12/2022/TT-BKHĐT,Thông tư số 15/2022/TT-BKHĐT,Thông tư số 20/2022/TT-BKHĐT,,,,,,,B,P3
329,"Việc đấu thầu thuốc theo quy định của Hiệp định thương mại tự do giữa Cộng hòa xã hội chủ nghĩa Việt Nam và Liên minh Châu Âu (EVFTA) được Chính phủ giao cơ quan, tổ chức nào hướng dẫn?",Bộ Tư pháp,Bộ Y tế,Bộ Tài chính,Bộ Công Thương,,,,,,,B,P3
330,Việt Nam chính thức trở thành thành viên của Hiệp định mua sắm chính phủ của WTO (GPA) từ năm nào?,2018,2019,2020,Việt Nam chưa phải là thành viên của GPA,,,,,,,D,P3
331,"Theo quy định tại Nghị định số 95/2020/NĐ-CP (được sửa đổi, bổ sung tại Nghị định số 09/2022/NĐ-CP, Nghị định số 17/2025/NĐ-CP), khái niệm Nước thành viên không bao gồm:",Nước thành viên Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP),Nước thành viên EU,Vương quốc Anh và Bắc Ai-len,Các nước ASEAN chưa gia nhập Hiệp định CPTPP,,,,,,,D,P3
332,"Đối với gói thầu thuộc phạm vi điều chỉnh của Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP), ngôn ngữ sử dụng trong đấu thầu nội khối là:",Chỉ tiếng Việt,Chỉ tiếng Anh,Tiếng Việt; hoặc tiếng Việt và tiếng Anh,Bất kỳ ngôn ngữ nào của các nước thành viên,,,,,,,C,P3
333,"Theo quy định tại Thông tư số 21/2022/TT-BKHĐT, hồ sơ mời thầu gói thầu dịch vụ phi tư vấn không được đưa ra yêu cầu nào sau đây:",Yêu cầu về năng lực,Yêu cầu về kinh nghiệm,Yêu cầu nhà thầu phải có kinh nghiệm cung cấp dịch vụ trong lãnh thổ của một quốc gia cụ thể,Yêu cầu về chất lượng dịch vụ,,,,,,,C,P3
334,"Trong Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP), việc áp dụng biện pháp ưu đãi trong nước:",Được phép áp dụng vĩnh viễn,Không bao giờ được phép áp dụng,Được phép áp dụng trong thời gian chuyển tiếp,"Tùy quy mô, tính chất từng gói thầu",,,,,,,C,P3
335,"Đối với gói thầu thuộc phạm vi điều chỉnh của Hiệp định Đối tác Toàn diện và Tiến bộ xuyên Thái Bình Dương (CPTPP), Nghị định số 95/2020/NĐ-CP quy định những hình thức lựa chọn nhà thầu nào?",Đấu thầu hạn chế và chỉ định thầu,Chỉ có chỉ định thầu,Đấu thầu rộng rãi và chỉ định thầu,Chỉ có đấu thầu rộng rãi,,,,,,,C,P3
336,Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP) có cho phép áp dụng đấu thầu qua mạng không?,Không cho phép,Bắt buộc phải áp dụng,Khuyến khích áp dụng,"Tùy quy mô, tính chất từng gói thầu",,,,,,,A,P3
337,Gói thầu mua thuốc là gói thầu nào?,Gói thầu mua sắm hàng hóa,Gói thầu cung cấp dịch vụ phi tư vấn,Gói thầu hỗn hợp,Gói thầu xây lắp,,,,,,,A,P3
338,Đàm phán giá được áp dụng trong trường hợp nào sau đây?,Mua vật tư tiêu hao,"Mua thuốc, thiết bị y tế, vật tư xét nghiệm chỉ có 01 hoặc 02 hãng sản xuất",Mua hàng hóa chỉ có 01 hãng sản xuất,Mua hàng hóa chỉ có 01 hoặc 02 hãng sản xuất,,,,,,,B,P3
339,Thời gian có hiệu lực thi hành của Luật số 90/2025/QH15?,Từ ngày 01 tháng 7 năm 2025,Từ ngày 04 tháng 8 năm 2025,Từ ngày 08 tháng 8 năm 2025,Tất cả các đáp án trên đều sai,,,,,,,A,P3
340,"Thông tư số 80/2025/TT-BTC quy định chi tiết mẫu hồ sơ yêu cầu, báo cáo đánh giá, báo cáo thẩm định, kiểm tra, báo cáo tình hình thực hiện hoạt động đấu thầu có hiệu lực từ thời điểm nào?",Ngày 08/8/2025,Ngày 04/8/2025,Ngày 01/8/2025,Ngày 01/7/2025,,,,,,,A,P3
341,Nhận định nào sau đây về việc sử dụng hợp đồng điện từ đối với gói thầu sử dụng vốn ngân sách nhà nước là đúng?,"Bắt buộc sử dụng hợp đồng điện từ đối với tất cả gói thầu tổ chức lựa chọn nhà thầu qua mạng và không qua mạng theo hình thức đấu thầu rộng rãi, đấu thầu hạn chế, chào hàng cạnh tranh, chào giá trực tuyến, mua sắm trực tuyến mà việc thanh toán hợp đồng được thực hiện qua Kho bạc nhà nước","Bắt buộc sử dụng hợp đồng điện từ đối với gói thầu áp dụng hình thức đặt hàng, chỉ định thầu, mua sắm trực tiếp, đàm phán giá, lựa chọn nhà thầu trong trường hợp đặc biệt, gói thầu có sự tham gia của cộng đồng, lựa chọn tư vấn cá nhân theo quy trình rút gọn",Bắt buộc sử dụng hợp đồng điện từ đối với các gói thầu mà việc thanh toán hợp đồng không được thực hiện qua Kho bạc nhà nước,"Bắt buộc sử dụng hợp đồng điện từ đối với tất cả gói thầu tổ chức lựa chọn nhà thầu trên Hệ thống mạng đấu thầu Quốc gia theo hình thức đấu thầu rộng rãi, đấu thầu hạn chế, chào hàng cạnh tranh, chào giá trực tuyến, mua sắm trực tuyến mà việc thanh toán hợp đồng được thực hiện qua Kho bạc nhà nước",,,,,,,D,P3
342,"Đối với gói thầu đã áp dụng sơ tuyến, trường hợp năng lực và kinh nghiệm của nhà thầu vượt qua bước sơ tuyến khi nộp E-HSDT có sự thay đổi so với khi tham dự sơ tuyến, thì nhà thầu cần phải?",Cập nhật lại năng lực và kinh nghiệm của mình khi tham dự thầu.,Chi phải đính kèm hồ sơ năng lực và kinh nghiệm của mình khi tham dự thầu.,Không phải cập nhật năng lực và kinh nghiệm của mình khi tham dự thầu nhưng phải đính kèm hồ sơ năng lực và kinh nghiệm.,Phương án A và C đều đúng,,,,,,,A,P3
343,"Đối với đấu thầu qua mạng, nội dung nào sau đây là đúng khi đánh giá E-HSDT?","Quy trình 02 áp dụng đối với gói thầu mua sắm hàng hóa, dịch vụ phi tư vấn, máy đặt, máy mượn theo phương thức một giai đoạn một túi hồ sơ, sử dụng phương pháp “giá thấp nhất” và các nhà thầu, E-HSDT đều không có bất kỳ ưu đãi nào.",Hệ thống tự động xếp hạng nhà thầu theo giá dự thầu sau khi trừ đi giá trị giảm giá (nếu có) thấp nhất (không phải phê duyệt danh sách xếp hạng nhà thầu) đối với gói thầu áp dụng quy trình 02.,Trường hợp có từ 02 nhà thầu trở lên cùng xếp thứ nhất thì không đánh giá theo quy trình 02 mà phải đánh giá theo quy trình 01.,Cả 3 đáp án đều đúng,,,,,,,D,P3
344,Việc đánh giá E-HSDT gói thầu mua sắm hàng hóa theo quy trình 02 được thực hiện theo trình tự nào sau đây?,Đánh giá E-HSDT của tất cả nhà thầu tham dự thầu về: tính hợp lệ của E-HSDT; năng lực và kinh nghiệm; kỹ thuật. Trường hợp nhà thầu không đáp ứng bước trước thì không tiếp tục đánh giá bước tiếp theo.,Đánh giá E-HSDT của nhà thầu xếp hạng thứ nhất về: tính hợp lệ của E-HSDT; năng lực và kinh nghiệm; kỹ thuật. Trường hợp nhà thầu xếp hạng thứ nhất không đáp ứng thì đánh giá đối với nhà thầu xếp hạng tiếp theo.,Đánh giá E-HSDT của nhà thầu xếp hạng thứ nhất về: tính hợp lệ của E-HSDT; kỹ thuật; tài chính; năng lực và kinh nghiệm. Trường hợp nhà thầu xếp hạng thứ nhất không đáp ứng thì đánh giá đối với nhà thầu xếp hạng tiếp theo.,Đánh giá E-HSDT của tất cả nhà thầu tham dự thầu về: tính hợp lệ của E-HSDT; kỹ thuật; tài chính; năng lực và kinh nghiệm. Trường hợp nhà thầu không đáp ứng bước trước thì không tiếp tục đánh giá bước tiếp theo,,,,,,,B,P3
345,"Gói thầu phi tư vấn có giá gói thầu 2 tỷ đồng thực hiện đấu thầu rộng rãi qua mạng đóng thầu ngày 11/11/2025 (Thứ 3), Chủ đầu tư tiếp nhận nội dung yêu cầu làm rõ của nhà thầu ngày 04/11/2025. Chủ đầu tư phải trả lời yêu cầu làm rõ E-HSMT trên Hệ thống chậm nhất ngày nào dưới đây để đảm bảo không phải gia hạn thời điểm đóng thầu?",Thứ tư ngày 05/11/2025.,Thứ năm ngày 06/11/2025.,Thứ sáu ngày 07/11/2025.,Thứ 7 ngày 08/11/2025,,,,,,,B,P3
346,"Sau khi có quyết định phê duyệt kết quả lựa chọn nhà thầu, nhận định nào sau đây không đúng?",Chủ đầu tư đăng tải kết quả lựa chọn nhà thầu trên Hệ thống trong vòng 05 ngày làm việc kể từ ngày phê duyệt kết quả lựa chọn nhà thầu..,Nhà thầu gửi đề nghị trên Hệ thống hoặc gặp trực tiếp Chủ đầu tư yêu cầu giải thích lý do cụ thể nhà thầu không trúng thầu..,Chủ đầu tư có trách nhiệm trả lời yêu cầu giải thích lý do cụ thể nhà thầu không trúng thầu của nhà thầu trong thời hạn 02 ngày làm việc kể từ ngày nhận được yêu cầu của nhà thầu.,Chủ đầu tư gửi văn bản thông báo kết quả lựa chọn nhà thầu cho các nhà thầu tham dự thầu trong thời hạn 03 ngày làm việc kể từ ngày phê duyệt kết quả lựa chọn nhà thầu,,,,,,,D,P3
347,"Đối với đấu thầu qua mạng, nhận định nào sau đây về thông báo chấp thuận E-HSDT và trao hợp đồng là đúng?","Chủ đầu tư gửi thông báo chấp thuận E-HSDT và trao hợp đồng (sau khi đăng tải kết quả lựa chọn nhà thầu) trên Hệ thống cho nhà thầu trúng thầu; thông báo bao gồm cả yêu cầu về biện pháp bảo đảm thực hiện hợp đồng, thời gian hoàn thiện, ký kết hợp đồng..",Thông báo chấp thuận E-HSDT và trao hợp đồng là một phần của hồ sơ hợp đồng.,Thời hạn nêu trong thông báo chấp thuận E-HSDT và trao hợp đồng được tính kể từ ngày Chủ đầu tư gửi thông báo chấp thuận cho nhà thầu trúng thầu trên Hệ thống..,Tất cả các phương án trên đều đúng,,,,,,,D,P3
348,"Trong chào giá trực tuyến rút gọn, nhận định nào sau đây về giá trần là đúng?","Đối với loại hợp đồng trọn gói, loại hợp đồng theo đơn giá cố định hoặc đơn giá điều chỉnh, giá trần là giá gói thầu trong kế hoạch lựa chọn nhà thầu được duyệt sau khi phê duyệt kế hoạch lựa chọn nhà thầu.","Đối với loại hợp đồng trọn gói, giá trần là giá gói thầu trong kế hoạch lựa chọn nhà thầu được duyệt theo đơn giá điều chỉnh, giá trần là giá gói thầu trong kế hoạch lựa chọn nhà thầu được duyệt chưa bao gồm phần chi phí dự phòng hoặc dự toán gói thầu chưa bao gồm chi phí dự phòng của gói thầu trong trường hợp dự toán duyệt sau khi phê duyệt kế hoạch lựa chọn nhà thầu.","Đối với loại hợp đồng theo đơn giá cố định hoặc đơn giá điều chỉnh, giá trần là giá gói thầu trong kế hoạch lựa chọn nhà thầu được duyệt chưa bao gồm phần chi phí dự phòng hoặc dự toán gói thầu chưa bao gồm chi phí dự phòng của gói thầu trong trường hợp dự toán duyệt sau khi phê duyệt kế hoạch lựa chọn nhà thầu.",Cả phương án B và C đều đúng,,,,,,,B,P3
349,"Trong chào giá trực tuyến rút gọn, bước giá được tính như thế nào?","Giá trị trong khoảng từ 0,1% đến 0,3% giá trần.","Giá trị trong khoảng từ 0,5% đến 0.8% giá trần.",Giá trị trong khoảng từ 01% đến 02% giá trần.,Giá trị trong khoảng từ 01% đến 03% giá trần,,,,,,,A,P3
350,"Trường hợp gặp sự cố dẫn đến Hệ thống mạng đấu thầu quốc gia không thể vận hành và việc khắc phục sự cố dự kiến diễn ra trong thời gian dài, cơ quan nào có trách nhiệm thông báo về cách thức lựa chọn nhà thầu?",Bộ Tài chính.,Cục Quản lý đấu thầu.,Trung tâm Đấu thầu qua mạng quốc gia.,Tất cả phương án trên đều đúng,,,,,,,A,P3
351,"Trường hợp gặp sự cố dẫn đến Hệ thống mạng đấu thầu quốc gia không thể vận hành và việc khắc phục sự cố dự kiến diễn ra trong thời gian dài, Bộ Tài chính thông báo ở đâu?",Cổng thông tin điện tử của Chính phủ.,Cổng thông tin điện tử của Bộ Tài chính.,Hệ thống mạng đấu thầu quốc gia.,Tất cả phương án trên đều đúng,,,,,,,C,P3
352,"Đối với gói thầu mua sắm hàng hóa, trường hợp cần yêu cầu về hàng mẫu để đánh giá về kỹ thuật thì nhận định nào sau đây là đúng?",Nhà thầu có thể nộp bổ sung hàng mẫu trong thời hạn 05 ngày làm việc sau thời điểm đóng thầu.,"Chủ đầu tư phải bảo đảm việc yêu cầu cung cấp hàng mẫu không dẫn đến làm tăng chi phí của gói thầu, hạn chế sự tham gia của nhà thầu hoặc nhằm tạo lợi thế cho một hoặc một số nhà thầu gây ra sự cạnh tranh không bình đẳng.",Phương án A và B đều sai.,Phương án A và B đều đúng,,,,,,,D,P3
353,"Đối với gói thầu mua sắm hàng hóa, dịch vụ có giá trị dưới 500 triệu đồng áp dụng lựa chọn nhà thầu theo hình thức mua sắm trực tuyến, việc ký kết hợp đồng được thực hiện như thế nào?",Bắt buộc ký hợp đồng điện tử trên Hệ thống mạng đấu thầu quốc gia.,"Không bắt buộc ký hợp đồng điện tử, chủ đầu tư quyết định hình thức ký kết.",Ký hợp đồng điện tử trên Hệ thống khi việc thanh toán hợp đồng được thực hiện qua Kho bạc nhà nước.,Không ký hợp đồng điện tử đối với gói thầu có giá trị nhỏ hơn 500 triệu đồng,,,,,,,C,P3
354,Nhận định nào sau đây là không phù hợp đối với gói thầu mua sắm hàng hoá áp dụng chào giá trực tuyến theo quy trình rút gọn?,"Chủ đầu tư được nêu yêu cầu cụ thể về xuất xứ, ký mã hiệu, nhãn hiệu, hàng sản xuất, thông số kỹ thuật của hàng hóa và các yêu cầu khác (nếu có) như: lắp đặt, đào tạo, bảo hành....",Chủ đầu tư cần nghiên cứu để đưa ra khoảng thời gian phù hợp giữa ngày giao hàng sớm nhất và ngày giao hàng muộn nhất.,Nhà thầu sẽ không đề xuất ngày giao hàng cụ thể mà chỉ cam kết tuân thủ theo yêu cầu của chủ đầu tư tại E-TBMT.,"Trong quá trình chào giá, mức giá do các nhà thầu chào và tên nhà thầu được công khai trên Hệ thống mạng đấu thầu quốc gia",,,,,,,D,P3
355,"Đối với gói thầu áp dụng theo phương thức một giai đoạn một túi hồ sơ, căn cứ vào E-HSDT của các nhà thầu đã nộp trên Hệ thống và phương pháp đánh giá E-HSDT quy định trong E-HSMT, tổ chuyên gia được chọn quy trình 02 để đánh giá E-HSDT trong trường hợp nào sau đây?","Gói thầu mua sắm hàng hóa, dịch vụ phi tư vấn, mấy đặt, máy mượn theo phương thức một giai đoạn một túi hồ sơ, sử dụng phương pháp “giá thấp nhất” và các nhà thầu, E-HSDT đều không có bất kỳ ưu đãi nào.","Gói thầu mua sắm hàng hóa, dịch vụ tư vấn theo phương thức một giai đoạn một túi hồ sơ, sử dụng phương pháp “giá thấp nhất” và các nhà thầu, E-HSDT đều không có bất kỳ ưu đãi nào.","Gói thầu xây lắp theo phương thức một giai đoạn một túi hồ sơ, sử dụng phương pháp “giá thấp nhất”.",Cả 3 phương án đều sai,,,,,,,A,P3
356,"Khi xây dựng hồ sơ yêu cầu đối với hình thức chỉ định thầu, chủ đầu tư quy định nhà thầu chuẩn bị 01 bản gốc và tối đa bao nhiêu bản chụp hồ sơ đề xuất?",01 bản chụp.,02 bản chụp.,03 bản chụp.,04 bản chụp,,,,,,,C,P3
